point,side,name,landmark_coords,id
99,left,nasalis_alar,"[0.461640625, 0.64150390625]",
129,left,levator_labii_superioris_alaque_nasi,"[0.41458984375, 0.614970703125]",
75,left,nasalis_alar,"[0.446064453125, 0.63494140625]",
98,left,nasalis_alar,"[0.43146484375, 0.642421875]",
79,left,compressor_narium_minor,"[0.449384765625, 0.61642578125]",
133,left,orbital_oculi,"[0.425986328125, 0.46271484375]",
112,left,medial_palpebral_ligament,"[0.427421875, 0.47091796875]",
115,left,nasalis_transverse,"[0.43408203125, 0.601357421875]",
131,left,levator_labii_superioris_alaque_nasi,"[0.433837890625, 0.58533203125]",
134,left,nasalis_transverse,"[0.451884765625, 0.56966796875]",
126,left,levator_labii_superioris,"[0.426962890625, 0.556015625]",
142,left,levator_labii_superioris,"[0.40298828125, 0.57796875]",
140,left,depressor_anguli_oris,"[0.392763671875, 0.8778125]",
149,left,depressor_anguli_oris,"[0.361181640625, 0.875146484375]",
150,left,platysma,"[0.328564453125, 0.849716796875]",
135,left,risorius,"[0.29267578125, 0.786748046875]",
138,left,masseter,"[0.26478515625, 0.747578125]",
132,left,masseter,"[0.227255859375, 0.640322265625]",
147,left,buccinator,"[0.250224609375, 0.630068359375]",
123,left,zygomaticus_major,"[0.24263671875, 0.575927734375]",
137,left,masseter,"[0.222744140625, 0.57408203125]",
93,left,zygomaticus_major,"[0.214130859375, 0.57140625]",
116,left,zygomaticus_minor,"[0.23443359375, 0.5180859375]",
127,left,temporalis,"[0.199365234375, 0.45123046875]",
143,left,temporalis,"[0.231767578125, 0.4672265625]",
139,left,temporalis,"[0.215771484375, 0.409599609375]",
106,left,depressor_labii_inferioris,"[0.39873046875, 0.78705078125]",
84,left,vermillion_lower,"[0.45798828125, 0.793623046875]",
83,left,obicularis_oris,"[0.458310546875, 0.815615234375]",
85,left,vermillion_lower,"[0.4584765625, 0.775732421875]",
86,left,vermillion_lower,"[0.460615234375, 0.760625]",
92,left,zygomaticus_minor,"[0.39216796875, 0.697275390625]",
81,left,tubercles_upper,"[0.44337890625, 0.74421875]",
141,left,columella,"[0.486396484375, 0.63876953125]",
72,left,vermillion_upper,"[0.458984375, 0.723896484375]",
71,left,temporalis,"[0.225615234375, 0.369404296875]",
103,left,frontalis,"[0.27626953125, 0.264599609375]",
104,left,temporalis,"[0.295341796875, 0.31115234375]",
109,left,depressor_septi_nasi,"[0.414091796875, 0.232197265625]",
108,left,frontalis,"[0.4233203125, 0.299462890625]",
107,left,orbital_oculi,"[0.430908203125, 0.37822265625]",
105,left,orbiculi_pelperbal,"[0.31154296875, 0.367763671875]",
124,left,orbital_oculi,"[0.253916015625, 0.43482421875]",
113,left,orbiculi_pelperbal,"[0.272783203125, 0.435849609375]",
130,left,lateral_palpebral_ligament,"[0.2898046875, 0.4524609375]",
110,left,orbital_oculi,"[0.31564453125, 0.479736328125]",
144,left,orbiculi_pelperbal,"[0.338623046875, 0.470712890625]",
145,left,orbiculi_pelperbal,"[0.363232421875, 0.471943359375]",
122,left,nasalis_transverse,"[0.473974609375, 0.480556640625]",
128,left,levator_labii_superioris_alaque_nasi,"[0.44259765625, 0.49470703125]",
114,left,levator_labii_superioris_alaque_nasi,"[0.440751953125, 0.511728515625]",
100,left,levator_labii_superioris,"[0.3970703125, 0.544951171875]",
121,left,orbital_oculi,"[0.423935546875, 0.507626953125]",
120,left,orbital_oculi,"[0.39625, 0.518701171875]",
119,left,levator_labii_superioris,"[0.359951171875, 0.53080078125]",
118,left,orbital_oculi,"[0.30990234375, 0.53408203125]",
117,left,orbital_oculi,"[0.275859375, 0.5230078125]",
111,left,zygomaticus_minor,"[0.25822265625, 0.50208984375]",
73,left,vermillion_upper,"[0.43353515625, 0.730595703125]",
76,left,vermillion_lower,"[0.384951171875, 0.749306640625]",
136,left,platysma,"[0.292470703125, 0.814033203125]",
101,left,zygomaticus_minor,"[0.354296875, 0.5625]",
82,left,tubercles_lower,"[0.464384765625, 0.74421875]",
177,left,masseter,"[0.2289028475711892, 0.6382857142857142]",
192,left,masseter,"[0.2779815745393635, 0.7163529411764706]",
190,left,medial_palpebral_ligament,"[0.4281239530988275, 0.4457058823529412]",
173,left,orbiculi_pelperbal,"[0.4179061976549414, 0.454781512605042]",
155,left,medial_palpebral_ligament,"[0.4195812395309883, 0.4661260504201681]",
151,center,procerus,"[0.5004187604690117, 0.3049579831932772]",
168,center,radix,"[0.498643216080402, 0.4465462184873949]",
193,left,levator_labii_superioris_alaque_nasi,"[0.4669011725293132, 0.4481428571428571]",
188,left,levator_labii_superioris_alaque_nasi,"[0.4567671691792295, 0.4997394957983194]",
197,center,nasalis_transverse,"[0.4969011725293132, 0.5115126050420169]",
196,left,nasalis_transverse,"[0.4738693467336683, 0.5156302521008403]",
174,left,nasalis_transverse,"[0.4575209380234505, 0.5283949579831932]",
195,center,nasalis_transverse,"[0.4966499162479062, 0.5385714285714286]",
153,left,orbiculi_pelperbal,"[0.384321608040201, 0.4693193277310924]",
157,left,orbiculi_pelperbal,"[0.399145728643216, 0.4384789915966386]",
158,left,orbiculi_pelperbal,"[0.3753601340033501, 0.4269663865546218]",
161,left,orbiculi_pelperbal,"[0.3173199329983249, 0.4355378151260504]",
160,left,orbiculi_pelperbal,"[0.3308040201005025, 0.4282268907563025]",
159,left,orbiculi_pelperbal,"[0.3535845896147404, 0.4229327731092437]",
163,left,orbiculi_pelperbal,"[0.3247738693467336, 0.4667142857142857]",
156,left,temporalis,"[0.2374204355108878, 0.422344537815126]",
162,left,temporalis,"[0.199966499162479, 0.3930504201680672]",
198,left,nasalis_transverse,"[0.4437353433835846, 0.5714705882352941]",
166,left,nasalis_transverse,"[0.4451591289782244, 0.6307983193277311]",
164,center,philtral_columns,"[0.496750418760469, 0.6777731092436975]",
167,left,depressor_septi_nasi,"[0.4660134003350083, 0.6793697478991597]",
165,left,levator_labii_superioris_alaque_nasi,"[0.4222110552763819, 0.6886974789915966]",
186,left,zygomaticus_major,"[0.3810887772194304, 0.7242436974789916]",
185,left,tubercles_upper,"[0.4078894472361808, 0.7446638655462184]",
184,left,tubercles_upper,"[0.4123283082077051, 0.7483613445378151]",
183,left,tubercles_lower,"[0.4176046901172529, 0.7504621848739496]",
178,left,tubercles_lower,"[0.4542043551088777, 0.7529831932773109]",
180,left,vermillion_lower,"[0.4444053601340033, 0.7717226890756302]",
181,left,vermillion_lower,"[0.4412227805695143, 0.7861764705882353]",
182,left,obicularis_oris,"[0.4325125628140703, 0.8048319327731093]",
194,left,obicularis_oris,"[0.4162646566164154, 0.8268487394957984]",
176,left,depressor_anguli_oris,"[0.3996817420435511, 0.8941596638655461]",
170,left,platysma,"[0.3567169179229481, 0.851218487394958]",
171,left,depressor_labii_inferioris,"[0.4431490787269682, 0.8920588235294117]",
152,center,mentalis,"[0.5002596314907872, 0.9144117647058824]",
175,center,mentalis,"[0.4996063651591289, 0.8986302521008402]",
199,center,mentalis,"[0.4996901172529313, 0.8729999999999999]",
200,center,mentalis,"[0.4996063651591289, 0.8441764705882353]",
169,left,depressor_anguli_oris,"[0.3243718592964824, 0.8242016806722688]",
172,left,risorius,"[0.2610636515912897, 0.7750084033613446]",
187,left,buccinator,"[0.2825879396984925, 0.6528235294117647]",
154,left,medial_palpebral_ligament,"[0.4053433835845896, 0.4666302521008403]",
179,left,vermillion_lower,"[0.4480904522613065, 0.7606302521008403]",
191,left,vermillion_lower,"[0.4222780569514238, 0.753781512605042]",
189,left,orbital_oculi,"[0.4435845896147403, 0.4449075630252101]",
224,left,orbital_oculi,"[0.3028215488215488, 0.3964915824915824]",
223,left,orbiculi_pelperbal,"[0.3335959595959596, 0.3902962962962963]",
222,left,orbiculi_pelperbal,"[0.3738653198653199, 0.3946060606060606]",
221,left,orbital_oculi,"[0.4203299663299664, 0.4136632996632996]",
234,left,zygomaticus_major,"[0.2031380471380471, 0.5077239057239057]",
243,left,medial_palpebral_ligament,"[0.4344713804713805, 0.4635622895622895]",
233,left,orbital_oculi,"[0.4346060606060606, 0.4838316498316498]",
232,left,orbital_oculi,"[0.417973063973064, 0.4913063973063973]",
231,left,orbiculi_pelperbal,"[0.3935286195286195, 0.4985791245791245]",
230,left,orbiculi_pelperbal,"[0.3601279461279461, 0.5057845117845118]",
229,left,orbiculi_pelperbal,"[0.3253131313131313, 0.5052457912457913]",
228,left,orbiculi_pelperbal,"[0.2989831649831649, 0.4954814814814814]",
226,left,lateral_palpebral_ligament,"[0.2755488215488215, 0.4546060606060606]",
247,left,lateral_palpebral_ligament,"[0.289016835016835, 0.4302289562289562]",
246,left,orbiculi_pelperbal,"[0.3113804713804713, 0.4408080808080808]",
225,left,orbiculi_pelperbal,"[0.2831582491582491, 0.4089494949494949]",
245,left,levator_labii_superioris_alaque_nasi,"[0.4548080808080808, 0.4772659932659933]",
244,left,orbital_oculi,"[0.4471245791245791, 0.4706329966329966]",
227,left,zygomaticus_major,"[0.2102087542087542, 0.5141885521885522]",
215,left,masseter,"[0.2391582491582491, 0.6935555555555556]",
213,left,buccinator,"[0.2551313131313131, 0.6768686868686868]",
205,left,zygomaticus_minor,"[0.3337575757575757, 0.6299191919191919]",
207,left,zygomaticus_major,"[0.3141212121212121, 0.6725050505050505]",
206,left,zygomaticus_minor,"[0.3706060606060606, 0.6628080808080808]",
216,left,zygomaticus_major,"[0.3508080808080808, 0.697959595959596]",
214,left,buccinator,"[0.3052323232323232, 0.7442626262626263]",
212,left,risorius,"[0.3374747474747475, 0.7446666666666666]",
202,left,depressor_anguli_oris,"[0.3570303030303031, 0.7757777777777778]",
210,left,depressor_anguli_oris,"[0.3343434343434343, 0.7930639730639731]",
204,left,depressor_anguli_oris,"[0.3827272727272727, 0.8026060606060605]",
211,left,depressor_anguli_oris,"[0.365993265993266, 0.8230303030303031]",
201,left,depressor_labii_inferioris,"[0.4547272727272727, 0.8356565656565657]",
208,left,mentalis,"[0.4462424242424242, 0.863939393939394]",
242,left,depressor_septi_nasi,"[0.4791043771043771, 0.6411851851851852]",
241,left,depressor_septi_nasi,"[0.4762558922558922, 0.6334545454545454]",
238,left,dilator_naris_anterior,"[0.4723905723905724, 0.6307138047138047]",
239,left,compressor_narium_minor,"[0.4609158249158249, 0.6213602693602693]",
237,left,compressor_narium_minor,"[0.4593804713804713, 0.6164848484848485]",
218,left,nasalis_transverse,"[0.4438383838383838, 0.6170909090909091]",
220,left,dilator_naris_anterior,"[0.4525723905723906, 0.5994074074074074]",
219,left,nasalis_transverse,"[0.4331649831649831, 0.6261414141414142]",
235,left,nasalis_alar,"[0.4341750841750841, 0.6352861952861952]",
240,left,obicularis_oris,"[0.440996632996633, 0.6435218855218855]",
203,left,levator_labii_superioris,"[0.3941481481481481, 0.6384444444444445]",
209,left,levator_labii_superioris_alaque_nasi,"[0.4295353535353535, 0.582976430976431]",
236,left,nasalis_transverse,"[0.456053872053872, 0.5494343434343434]",
217,left,nasalis_transverse,"[0.4419057239057239, 0.5415555555555556]",
248,right,compressor_narium_minor,"[0.516026936026936, 0.5393939393939394]",
250,right,depressor_septi_nasi,"[0.517084175084175, 0.637973063973064]",
249,right,orbiculi_pelperbal,"[0.6857912457912457, 0.4646464646464646]",
292,left,vermillion_lower,"[0.5970572390572391, 0.7514478114478115]",
269,left,vermillion_upper,"[0.5546060606060607, 0.7202154882154882]",
286,right,orbital_oculi,"[0.5907609427609427, 0.4242693602693602]",
258,right,orbiculi_pelperbal,"[0.6208215488215488, 0.4123771043771044]",
295,right,orbiculi_pelperbal,"[0.6197845117845118, 0.3938181818181818]",
257,right,orbiculi_pelperbal,"[0.6553804713804714, 0.4106936026936026]",
259,right,orbiculi_pelperbal,"[0.6847676767676768, 0.4167474747474747]",
260,right,lateral_palpebral_ligament,"[0.7022895622895623, 0.4282222222222222]",
263,right,lateral_palpebral_ligament,"[0.6960808080808081, 0.4553737373737374]",
254,right,orbiculi_pelperbal,"[0.6592861952861953, 0.4900202020202019]",
253,right,orbiculi_pelperbal,"[0.6323703703703704, 0.4891447811447811]",
252,right,orbiculi_pelperbal,"[0.6063232323232323, 0.4848350168350168]",
256,right,orbiculi_pelperbal,"[0.5847407407407408, 0.48006734006734]",
285,right,corrugator_supercilii,"[0.5536835016835017, 0.4083030303030303]",
296,right,orbital_oculi,"[0.6266599326599327, 0.3721683501683501]",
282,right,orbital_oculi,"[0.6707676767676768, 0.3936498316498317]",
277,right,levator_labii_superioris_alaque_nasi,"[0.5708754208754209, 0.5327407407407407]",
283,right,orbiculi_pelperbal,"[0.7068013468013468, 0.4024242424242424]",
293,right,temporalis,"[0.7204175084175084, 0.3864781144781145]",
276,right,temporalis,"[0.7316969696969696, 0.4177171717171716]",
300,right,temporalis,"[0.746969696969697, 0.4047070707070707]",
265,right,orbital_oculi,"[0.7457575757575758, 0.4724242424242424]",
261,right,orbiculi_pelperbal,"[0.7138383838383838, 0.4911717171717171]",
264,right,temporalis,"[0.788989898989899, 0.4685454545454545]",
284,right,temporalis,"[0.7626734006734006, 0.308989898989899]",
298,right,temporalis,"[0.7418653198653199, 0.3421212121212121]",
251,right,temporalis,"[0.7875218855218855, 0.3519528619528619]",
299,right,frontalis,"[0.6389023569023569, 0.3064983164983165]",
297,right,corrugator_supercilii,"[0.6564107744107744, 0.2505387205387205]",
279,right,levator_labii_superioris_alaque_nasi,"[0.5685117845117845, 0.6061683501683501]",
278,right,nasalis_transverse,"[0.5668080808080809, 0.6188552188552189]",
294,right,nasalis_transverse,"[0.5671717171717172, 0.6322693602693602]",
289,right,compressor_narium_minor,"[0.5478989898989899, 0.6333670033670034]",
290,right,nasalis_alar,"[0.5305791245791246, 0.6405656565656566]",
274,right,nose_tip,"[0.5136228956228956, 0.6211717171717173]",
275,right,nose_tip,"[0.5187474747474747, 0.5972659932659933]",
281,right,compressor_narium_minor,"[0.5166734006734006, 0.5655488215488216]",
266,right,levator_labii_superioris,"[0.6209629629629629, 0.6032390572390572]",
280,right,zygomaticus_major,"[0.6986666666666667, 0.5995824915824916]",
288,right,masseter,"[0.7574612794612794, 0.7225387205387206]",
262,right,depressor_anguli_oris,"[0.5919326599326599, 0.8504915824915825]",
287,right,oral_commissure,"[0.6308417508417508, 0.7482760942760943]",
273,right,obicularis_oris,"[0.6136430976430977, 0.7707205387205387]",
291,right,vermillion_lower,"[0.6031582491582492, 0.7516902356902356]",
270,right,vermillion_upper,"[0.5768080808080808, 0.7313198653198653]",
267,right,cupids_bow,"[0.5244781144781145, 0.7094814814814814]",
268,right,tubercles_lower,"[0.51996632996633, 0.7382693602693602]",
271,right,tubercles_lower,"[0.5443636363636364, 0.7407138047138048]",
272,right,tubercles_upper,"[0.5664377104377104, 0.7433939393939394]",
255,right,orbital_oculi,"[0.6956026936026937, 0.4739259259259259]",
302,right,cupids_bow,"[0.5234478114478115, 0.7245252525252526]",
303,right,vermillion_upper,"[0.5500471380471381, 0.7305185185185185]",
304,right,vermillion_upper,"[0.5715959595959597, 0.7369831649831651]",
310,right,tubercles_lower,"[0.5621010101010101, 0.7460740740740741]",
311,right,tubercles_lower,"[0.5421683501683502, 0.7460740740740741]",
317,right,tubercles_lower,"[0.5198787878787878, 0.747016835016835]",
318,right,tubercles_lower,"[0.5627744107744108, 0.7491717171717172]",
316,right,tubercles_upper,"[0.5238518518518518, 0.7582626262626263]",
315,right,vermillion_lower,"[0.5257373737373737, 0.7736161616161615]",
319,right,tubercles_lower,"[0.5680942760942761, 0.7534814814814815]",
320,right,vermillion_lower,"[0.5726060606060607, 0.7614949494949494]",
324,right,tubercles_upper,"[0.5785993265993267, 0.7497777777777779]",
325,right,vermillion_lower,"[0.5835824915824915, 0.7534814814814815]",
314,center,tubercles_lower,"[0.5269360269360269, 0.7892255892255893]",
321,right,vermillion_lower,"[0.5774410774410774, 0.7698787878787878]",
307,right,vermillion_lower,"[0.5881481481481481, 0.756074074074074]",
308,right,vermillion_lower,"[0.5956902356902357, 0.7508215488215488]",
306,right,vermillion_lower,"[0.601010101010101, 0.7514949494949495]",
335,right,depressor_labii_inferioris,"[0.5900942760942761, 0.7872525252525252]",
313,right,obicularis_oris,"[0.5303703703703704, 0.8108215488215488]",
322,right,zygomaticus_minor,"[0.5981481481481481, 0.7014882154882155]",
326,right,depressor_septi_nasi,"[0.5253670033670034, 0.6505454545454545]",
328,right,nasalis_alar,"[0.5283973063973064, 0.6454949494949495]",
305,right,nasalis_alar,"[0.5434882154882155, 0.6384915824915824]",
327,right,obicularis_oris,"[0.558976430976431, 0.6478518518518518]",
309,right,compressor_narium_minor,"[0.5395084175084175, 0.620983164983165]",
344,right,nasalis_transverse,"[0.5547340067340067, 0.6066397306397306]",
331,right,nasalis_transverse,"[0.5728619528619529, 0.6187205387205387]",
343,right,levator_labii_superioris_alaque_nasi,"[0.5535218855218855, 0.5166868686868686]",
329,right,levator_labii_superioris,"[0.5968215488215488, 0.5486060606060605]",
350,right,orbital_oculi,"[0.573057239057239, 0.5116767676767677]",
349,right,orbital_oculi,"[0.598915824915825, 0.5237306397306397]",
348,right,levator_labii_superioris,"[0.6364242424242424, 0.5359191919191919]",
330,right,zygomaticus_minor,"[0.6400606060606061, 0.5683771043771043]",
347,right,zygomaticus_minor,"[0.6865925925925926, 0.5425858585858586]",
346,right,zygomaticus_minor,"[0.7201279461279462, 0.5311380471380471]",
340,right,zygomaticus_minor,"[0.7387811447811448, 0.5108686868686868]",
345,right,zygomaticus_minor,"[0.766074074074074, 0.5262962962962963]",
323,right,masseter,"[0.7896565656565657, 0.5837171717171717]",
342,right,lateral_palpebral_ligament,"[0.72410101010101, 0.4426127946127945]",
339,right,orbiculi_pelperbal,"[0.682020202020202, 0.4849158249158249]",
341,right,orbiculi_pelperbal,"[0.5711111111111111, 0.475030303030303]",
336,right,orbital_oculi,"[0.5633602693602694, 0.3749494949494949]",
334,right,orbiculi_pelperbal,"[0.6803569023569024, 0.3739326599326599]",
301,right,temporalis,"[0.768020202020202, 0.3766195286195286]",
333,right,temporalis,"[0.7001144781144781, 0.3189158249158249]",
332,right,temporalis,"[0.7204511784511783, 0.2754814814814814]",
338,right,depressor_septi_nasi,"[0.5853400673400674, 0.2385791245791245]",
337,right,frontalis,"[0.5741885521885521, 0.3037508417508417]",
312,right,tubercles_lower,"[0.5196632996632997, 0.745993265993266]",
393,right,philtral_columns,"[0.5281144781144781, 0.6746868686868687]",
359,right,lateral_palpebral_ligament,"[0.7095151515151515, 0.4572457912457912]",
388,right,orbiculi_pelperbal,"[0.683010101010101, 0.4403030303030303]",
362,right,orbiculi_pelperbal,"[0.5721414141414142, 0.465993265993266]",
382,right,medial_palpebral_ligament,"[0.5784309764309764, 0.4669023569023569]",
387,right,orbiculi_pelperbal,"[0.668949494949495, 0.4319191919191919]",
386,right,orbiculi_pelperbal,"[0.6459326599326599, 0.4270909090909091]",
385,right,orbiculi_pelperbal,"[0.6207003367003368, 0.4284579124579124]",
384,right,orbiculi_pelperbal,"[0.5971919191919193, 0.4403030303030303]",
398,right,orbiculi_pelperbal,"[0.5797979797979798, 0.4558787878787879]",
353,right,orbital_oculi,"[0.7411515151515151, 0.4409764309764309]",
383,right,temporalis,"[0.7606936026936028, 0.4337575757575757]",
368,right,temporalis,"[0.7816835016835016, 0.4182828282828282]",
389,right,temporalis,"[0.798996632996633, 0.4003097643097643]",
372,right,zygomaticus_minor,"[0.7652861952861953, 0.4748215488215488]",
352,right,zygomaticus_major,"[0.7552794612794612, 0.5859124579124579]",
376,right,buccinator,"[0.7471582491582491, 0.6395622895622896]",
361,right,masseter,"[0.7771919191919192, 0.649952861952862]",
366,right,masseter,"[0.7785117845117845, 0.5861077441077441]",
367,right,risorius,"[0.7297777777777777, 0.7587542087542087]",
397,right,risorius,"[0.7322356902356901, 0.7823636363636364]",
364,right,platysma,"[0.7012525252525252, 0.7971043771043771]",
365,right,platysma,"[0.7025791245791245, 0.8241144781144781]",
379,right,platysma,"[0.6653670033670034, 0.8584915824915824]",
378,right,depressor_anguli_oris,"[0.6315555555555555, 0.8796498316498317]",
377,right,mentalis,"[0.5514612794612794, 0.9091178451178452]",
396,right,depressor_labii_inferioris,"[0.5527811447811448, 0.8919259259259259]",
369,right,depressor_labii_inferioris,"[0.5996296296296296, 0.8764377104377105]",
395,right,platysma,"[0.6374074074074074, 0.8552794612794612]",
394,right,platysma,"[0.6683838383838383, 0.8284579124579124]",
358,right,nasalis_transverse,"[0.5746868686868687, 0.6202222222222222]",
360,right,compressor_narium_minor,"[0.5558249158249158, 0.591016835016835]",
392,right,compressor_narium_minor,"[0.5475555555555556, 0.6271986531986532]",
370,right,depressor_septi_nasi,"[0.5041414141414141, 0.6432188552188551]",
354,right,columella,"[0.5067272727272727, 0.6339191919191919]",
391,right,levator_labii_superioris,"[0.5723636363636364, 0.6858585858585858]",
363,right,dilator_naris_anterior,"[0.536962962962963, 0.5752592592592592]",
371,right,levator_labii_superioris,"[0.5878653198653199, 0.5824915824915825]",
355,right,levator_labii_superioris_alaque_nasi,"[0.5659057239057239, 0.5618181818181818]",
399,right,nasalis_transverse,"[0.5354074074074074, 0.5264175084175085]",
357,right,levator_labii_superioris_alaque_nasi,"[0.5537575757575758, 0.499023569023569]",
351,right,nasalis_transverse,"[0.5211178451178451, 0.4840942760942761]",
375,right,vermillion_lower,"[0.5917845117845117, 0.7597912457912458]",
381,right,medial_palpebral_ligament,"[0.592, 0.467993265993266]",
380,right,orbiculi_pelperbal,"[0.6119528619528619, 0.4713670033670034]",
374,right,orbiculi_pelperbal,"[0.6347272727272728, 0.474006734006734]",
373,right,orbiculi_pelperbal,"[0.6574074074074074, 0.474006734006734]",
390,right,orbiculi_pelperbal,"[0.6738047138047139, 0.4704511784511784]",
356,right,temporalis,"[0.8003097643097643, 0.4601279461279461]",
461,right,columella,"[0.51279296875, 0.62939453125]",
459,right,dilator_naris_anterior,"[0.530302734375, 0.617529296875]",
458,right,dilator_naris_anterior,"[0.519638671875, 0.625380859375]",
408,right,tubercles_upper,"[0.589970703125, 0.74369140625]",
407,right,tubercles_upper,"[0.58603515625, 0.74541015625]",
467,right,lateral_palpebral_ligament,"[0.711484375, 0.4409765625]",
446,right,orbiculi_pelperbal,"[0.722744140625, 0.463759765625]",
463,right,medial_palpebral_ligament,"[0.56693359375, 0.46490234375]",
464,right,orbital_oculi,"[0.549697265625, 0.47216796875]",
